name,name_2,church,date_founded,date_recessed,founding_captain,denomination,addr_streetno,addr_streetname,addr_suburb,addr_postcode,addr,division,battalion,colour,notes
26th Vic Hurstbridge,,Hurstbridge Uniting Church,1988,1989,Tom Stirling,Uniting,32,Diamond Creek,Diamond Creek,3089,"32 Wensley St, Diamond Creek VIC 3089",,MB,,
14th Melbourne,,Jordanville Presbyterian Church (St Mark's),1959,1969 or 1965,,Presbyterian,,Edward St,Chadstone,3148,"Edward St, Chadstone VIC 3148",,,,"?St Mark's Presbyterian, Chadstone"
1st Kerang,7th Vic Kerang,Kerang Baptist Church,1976,2006,E. Angel,Baptist,,Fitzroy St,Kerang,3579,"Fitzroy St, Kerang VIC 3579",,,,
31st Vic Heatherton,,Kingston City Church,2006,,Geoff Childs,CRC Churches International,316-322,Kingston Rd,Clarinda,3169,"316-322 Kingston Rd, Clarinda VIC 3169",SR,,,
24th Melbourne,,Kingsville Baptist Church,1967,1970,J Dickinson,Baptist,381,Geelong Road,Footscray West,3012,"381 Geelong Road, Footscray West VIC 3012",,,,
33rd Melbourne,33rd Vic Boronia,Knox Community Baptist Church,1976,,T. Pavitt,Baptist,17-19,Falconer Rd,Boronia,3155,"17-19 Falconer Rd, Boronia VIC 3155",ER,MB,,
1st Kyabram,,Kyabram Baptist Church,1963,1975,PH Evans,Baptist,10,Lake Rd,Kyabram,3620,"10 Lake Rd, Kyabram VIC 3620",,,,
30th Vic Lysterfield,,Lysterfield Christian Fellowship,1990,1993,Bruce Lyons,Full Gospel Churches of Australia,,,,,"Dandenong Primary School, cnr Foster St and New St",,,,Met at the Dandenong Primary School Hall at the corner of Foster Street and New Street
9th Melbourne,,Malvern Baptist Church,c. 1953,?,,Baptist,65A,Tooronga Rd,Malvern East,3145,"? 65A Tooronga Rd, Malvern East VIC 3145",,,,Life Boys only
1st Geelong,,Manifold Heights Baptist Church,1941,1942 or 1958?,,Baptist,163,Shannon Ave,Manifold Heights,3218,"163 Shannon Ave, Manifold Heights VIC 3218",,,,
25th Melbourne,25th Vic Mentone,Mentone Baptist Church,1967,2005,Joe Sheriff,Baptist,36,Harpley St,Mentone,3194,"36 Harpley St, Mentone VIC 3194",,MB�,,
1st Mildura,,Mildura Church of Christ,1964,1971,Colin Richard Allen,Churches of Christ,125,Deakin Ave,Mildura,3500,"125 Deakin Ave, Mildura VIC 3500",,,,
21st Melbourne,21st Vic Mitcham,Mitcham Baptist Church,1965,,Reginald Samson Langshaw,Baptist,8-Dec,Simla St,Mitcham,3132,"8-12 Simla St, Mitcham VIC 3132",ER,MB,,
1st Latrobe Valley,4th Vic Moe,Moe Baptist Church,"1953, 1972","?, 1985",Ron Bishop,Baptist,62,Fowler St,Moe ,3825,"62 Fowler St, Moe VIC 3825",,,,Initially known as '1st Moe'.
17th Melbourne,17th Vic Mooroolbark,Mooroolbark Baptist Church,1963,1966,William Disckson Blair,Baptist,,Hull Rd,Mooroolbark,3138,"Hull Rd, Mooroolbark VIC 3138",ER,MB,,In recess from 1966 to 1973.
1st Morwell,,Morwell Baptist Church,1967,1974,Robert McCracken,Baptist,3-Jul,McDonald St,Morwell,,3-7 McDonald St Morwell,,,,
19th Vic Casey,,Narre Warren Baptist Church,2009,,,Baptist,379,Narre Warren North,Narre Warren North,3804,"379 Narre Warren North Rd, Narre Warren North VIC 3804",SR,,,
2nd Latrobe Valley,,Newborough Presbyterian & Methodist Church,1961,1980,Ernie L. Thompson,Presbyterian / Methodist,92,Chamberlain Rd,Newborough,3825,"92 Chamberlain Rd, Newborough VIC 3825",,GGC,,
4th Geelong,,Newton Baptist Church,1962,c. 1965,,Baptist,7,Aberdeen St,Newtown,,"? 7 Aberdeen St, Newtown",,,,
19th Vic Noble Park,,Noble Park Baptist Church,1984,1989,David Doyle,Baptist,152,Harold Rd,Noble Park,3174,"152 Harold Rd, Noble Park VIC 3174",,SB,,
2nd Geelong (Norlane),,Norlane Baptist Church,1957,1969,,Baptist,4-Jun,Spruhan Ave,Norlane,3214,"4-6 Spruhan Ave, Norlane VIC 3214",,,,
5th Geelong,,Norlane Church of Christ,1963,?,Colin Richard Allen,Churches of Christ,33,Eagle Parade,Norlane,3214,33 Eagle Parade Norlane VIC 3214,,,,
16th Melbourne,16th Vic Oakleigh,Oakleigh Baptist Church,1962,1990,,Baptist,185,Warrigal Rd,Hughesdale,3166,"185 Warrigal Rd, Hughesdale VIC 3166",,MB�,,In recess from 1982-1985.
11th Melbourne,,Regent Baptist Church,1961,1981,William G Bartlett,Baptist,Cnr,High & Queens St,Reservoir,3073,"Cnr High & Queens St, Reservoir VIC 3073",,,,Hon. President Rev W Lowson appointed in 1964 [Hoare]
26th Melbourne,,Reservoir Baptist Church,1967,1984,Andrew Robert Hayes,Baptist,146,Rathcown Rd,Reservoir,3073,"146 Rathcown Rd, Reservoir VIC 3073",,MB,,
,,Richmond Church of Christ,1978,1979,,Churches of Christ,,,,,,,,,
19th Melbourne,,Ringwood East Baptist Church,1963,1965,,Baptist,44,Dublin Rd,Ringwood East,3135,"44 Dublin Rd, Ringwood East VIC 3135",,,,
28th Melbourne,28th Vic Rosanna,Rosanna Baptist Church,1969,2004,Rodney Alan Morgan,Baptist,Cnr,Corner Waiora Rd & Churchill St,Heidelberg Heights,3081,"Corner Waiora Rd & Churchill St, Heidelberg Heights VIC 3081",,MB,,
32nd Vic Rowville,,Rowville Baptist Church,1991,2008,Mal Taylor,Baptist,,Wellington Rd,Rowville,3178,"Wellington Rd (cnr Le John St), Rowville VIC 3178",,,,
1st Sale,8th Vic Sale,Sale Baptist Church,1977,1993,,Baptist,Cnr,Reeve St and MacAlister St,Sale,3850,"Corner Reeve St and MacAlister St, Sale VIC 3850",,,,
5th Melbourne,,South Richmond Church of Christ,1941,1943,,Churches of Christ,23,Coppin St,Richmond,,"? 23 Coppin St, Richmond",,,,
7th Melbourne,,"St Andrew's Presbyterian Church, Black Rock",1957,1970,Alan Forbes,Presbyterian,,Balcombe Road,Black Rock,,"Balcombe Road (opposite Ebden Avenue), Black Rock",,,,
4th Melbourne,,"St Columbas Presbyterian Church, Balwyn",1941,1950,,Presbyterian,37,Banool Road,Balwyn,3103,"37 Banool Road, Balwyn VIC 3103 (Demolished in 2015)",,,,
1st Bairnsdale,,"St John's Church of England, Bairnsdale",1953,1957,,Anglican,1,Pearson St,Bairnsdale,3875,"1 Pearson St, Bairnsdale VIC 3875",,,,
24th Vic Reservoir,24th Vic Darebin,"St Mark's Anglican Church, Reservoir",2001,,Brian Chia,Anglican,21,Beatty St,Reservoir,3073,"21 Beatty St, Reservoir VIC 3073",NWR,,,
13th Melbourne,13th Vic Syndal,Syndal Baptist Church,1967,2004,D Sutton-Smith,Baptist,588,High Street Rd,Syndal,3150,"588 High Street Rd, Syndal VIC 3150",,SB,,
1st Traralgon,,Traralgon Baptist Church,1965,1970,JW Graham,Baptist,58-62,Kay St,Traralgon,3844,"58-62 Kay St, Traralgon VIC 3844",,,,"Also known as ""3rd Latrobe Valley"""
1st Warrnambool,,Warrnambool & District Baptist Church,1961,1963,,Baptist,207,Koroit St,Warrnambool,3280,"207 Koroit St, Warrnambool VIC 3280",,,,
7th Melbourne,,Wattle Park Gospel Chapel,1981,1982,,,234,Elgar Rd,Box Hill South,3128,"234 Elgar Rd, Box Hill South VIC 3128",,SB,,
3rd Melbourne,3rd Vic Waverley,Waverley Baptist Church,1981,,,Baptist,2,Lum Rd,Wheelers Hill,3150,"2 Lum Rd, Wheelers Hill VIC 3150",SR,SB,,
1st Werribee,14th Vic Werribee,Werribee Baptist Church,1981,?,J Linley,Baptist,Cnr,Heaths Rd & Derrimut Road,Werribee,3030,"Cnr Heaths Rd & Derrimut Road, Werribee VIC 3030",NWR,SB,,"In recess 1990-1008, recommenced 2009."
7th Melbourne,,Williamstown Baptist Church,1946,1949,,Baptist,,Cecil Street,Williamstown,,"Cecil Street, Williamstown",,,,Closed in 1949 due to the polio epidemic
24th Vic Wodonga,,Wodonga and District Baptist Church,1985,1989,Don McDonald,Baptist,154,Melrose Dr,Wodonga,3690,"154 Melrose Dr, Wodonga VIC 3690",,,,
2nd Wodonga,,Wodonga and District Baptist Church,1962,1964,Ronald Charles Webber,Baptist,154,Melrose Dr,Wodonga,3690,"154 Melrose Dr, Wodonga VIC 3690",,,,
1st Wodonga,,Wodonga Church of Christ,1961,c. 1962,,Churches of Christ,158,De Kerilleau Dr,Wodonga,3690,"? 158 De Kerilleau Dr, Wodonga VIC 3690",,,,
,,Yallourn Methodist Church,1953,?,,Methodist,1,Northway,Yallourn,,"1 Northway, Yallourn",,,,
1st Ballarat,,,1953,1958,,,,,,,,,,,
3rd Geelong,,,1960,c. 1966,Roy E Ball,Churches of Christ,,,,,,,,,
1st Lavington,,,1965,?,,,,,,,,,,,
